Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,10-Jun-20,1537.15,1543.1,1579.55,1540.05,1575,1572.15,1556.73,10214426,15901058051,262174,2815033,27.56
RELIANCE,EQ,11-Jun-20,1572.15,1566,1567.95,1531,1538.8,1537.7,1546.33,9408283,14548302925,269490,3034020,32.25
RELIANCE,EQ,12-Jun-20,1537.7,1500,1593,1497,1588.7,1588.8,1552.68,17790565,27623018098,337575,4514688,25.38
RELIANCE,EQ,15-Jun-20,1588.8,1565,1626.95,1561.1,1612.3,1614.55,1593.39,24509162,39052737199,467105,5136354,20.96
RELIANCE,EQ,16-Jun-20,1614.55,1643,1648.55,1585.3,1614.05,1617.7,1617.17,23623299,38202982643,424919,5774484,24.44
RELIANCE,EQ,17-Jun-20,1617.7,1608.25,1635.45,1602.1,1611.85,1615.35,1618.64,19282519,31211518938,299203,7420780,38.48
RELIANCE,EQ,18-Jun-20,1615.35,1607,1665,1605.6,1662.9,1655.9,1636.4,18677694,30564098283,327308,7786788,41.69
RELIANCE,EQ,19-Jun-20,1655.9,1670,1788.8,1662,1763.2,1759.4,1727.35,48828852,84344321447,752773,15752717,32.26
RELIANCE,EQ,22-Jun-20,1759.4,1773.4,1804.2,1735,1752.5,1746.15,1771.18,27781772,49206651889,613265,7287358,26.23
RELIANCE,EQ,23-Jun-20,1746.15,1750,1763.75,1716.1,1721.7,1720.9,1731.86,17521196,30344310522,400333,2789706,34.87
RELIANCE,EQ,24-Jun-20,1720.9,1735.9,1772.7,1711.7,1732.5,1727.85,1739.65,23808524,41418523475,488048,5829283,24.48
RELIANCE,EQ,25-Jun-20,1727.85,1727,1749,1713.05,1719,1717.9,1728.41,18312705,31651803893,318478,6775567,37
RELIANCE,EQ,26-Jun-20,1717.9,1728.8,1752,1717,1750,1741.65,1731.91,14270695,24715505751,279769,5042368,35.33
RELIANCE,EQ,29-Jun-20,1741.65,1728.05,1739.75,1715.55,1722.7,1723.15,1724.38,11825126,20391055541,225499,4609009,38.98
RELIANCE,EQ,30-Jun-20,1723.15,1737,1741,1695.55,1707.5,1704.1,1718.1,13973038,24007093966,277133,5567451,39.84
RELIANCE,EQ,1-Jul-20,1704.1,1720,1749,1708.05,1736.25,1737.6,1730.01,13136706,22726570311,256982,3073568,23.4
RELIANCE,EQ,2-Jul-20,1737.6,1743,1767.6,1735.05,1759.5,1760.35,1755.2,13286760,23320864112,262833,3239259,24.38
RELIANCE,EQ,3-Jul-20,1760.35,1779.8,1793,1768,1788,1787.9,1781.69,13584004,24202508200,254096,3420711,25.18
RELIANCE,EQ,6-Jul-20,1787.9,1805,1858,1792.1,1855,1851.8,1832.66,21698149,39765301081,442095,5644923,26.02
RELIANCE,EQ,7-Jul-20,1851.8,1860,1864.35,1806.3,1822.15,1823.45,1831.78,16240102,29748224129,386666,4751023,29.25
RELIANCE,EQ,8-Jul-20,1823.45,1824.05,1834.95,1790,1795.4,1798,1812.33,12093523,21917489259,285951,4348610,35.96
RELIANCE,EQ,9-Jul-20,1798,1809,1835,1786.25,1826.75,1824.25,1813.36,16807403,30477877600,352813,4527046,26.93
RELIANCE,EQ,10-Jul-20,1824.25,1828.5,1884.6,1824.25,1880.2,1878.05,1859.58,20195490,37555184972,455198,4248376,21.04
RELIANCE,EQ,13-Jul-20,1878.05,1903.35,1947.7,1900,1938.7,1935,1927.07,32124397,61905840823,615947,6448206,20.07
RELIANCE,EQ,14-Jul-20,1935,1934,1941.7,1887.3,1915,1917,1917.96,31073591,59597787129,569875,8520789,27.42
RELIANCE,EQ,15-Jul-20,1917,1937.95,1978.8,1798,1842.35,1844,1917.63,64458598,1.23608E+11,1285533,10789672,16.74
RELIANCE,EQ,16-Jul-20,1844,1847,1869,1812.45,1842.05,1843.4,1844.01,28133993,51879421166,543130,6562839,23.33
RELIANCE,EQ,17-Jul-20,1843.4,1845,1920,1838,1916,1911.7,1876.25,22949535,43059161082,487421,4591431,20.01
RELIANCE,EQ,20-Jul-20,1911.7,1917.8,1932,1899.65,1921.95,1919.9,1916.93,16887752,32372604466,339625,3836078,22.72
RELIANCE,EQ,21-Jul-20,1919.9,1939,1977,1936.5,1973.5,1971.55,1962.43,19463498,38195689330,375090,5672596,29.14
RELIANCE,EQ,22-Jul-20,1971.55,1983,2010,1960.7,2004,2004,1993.46,27584769,54989120617,547567,8711054,31.58
RELIANCE,EQ,23-Jul-20,2004,2003.95,2079.7,1991.35,2076,2057.8,2035.95,26921058,54810058388,498584,9589647,35.62
RELIANCE,EQ,24-Jul-20,2057.8,2058,2163,2057.8,2148.4,2146.15,2128.53,55656793,1.18467E+11,1078097,12522509,22.5
RELIANCE,EQ,27-Jul-20,2146.15,2178.8,2198.8,2127.9,2154.95,2156.2,2169.68,37060949,80410276312,781374,5262824,14.2
RELIANCE,EQ,28-Jul-20,2156.2,2156.2,2194,2150.65,2177,2177.7,2175.67,25435618,55339580394,528044,5577191,21.93
RELIANCE,EQ,29-Jul-20,2177.7,2177.9,2182.8,2070.45,2092,2096.65,2124.29,33536361,71241119090,738739,9443206,28.16
RELIANCE,EQ,30-Jul-20,2096.65,2099,2139.7,2072,2101.9,2108.85,2111.03,33624516,70982380956,663693,6855972,20.39
RELIANCE,EQ,31-Jul-20,2108.85,2114.5,2129,2052.8,2070,2067.1,2077.02,34593375,71851185920,748942,9000404,26.02
RELIANCE,EQ,3-Aug-20,2067.1,2051.3,2057,2003.1,2007.65,2009,2029.05,21560137,43746668081,515571,6839066,31.72
RELIANCE,EQ,4-Aug-20,2009,2020.6,2167,2000.25,2158.4,2150.6,2098.08,42477225,89120494925,827312,7253795,17.08
RELIANCE,EQ,5-Aug-20,2150.6,2169,2196,2118.3,2132.1,2126.45,2153.72,34405886,74100545222,704272,3949479,11.48
RELIANCE,EQ,6-Aug-20,2126.45,2157,2167.7,2107.8,2136.55,2134.1,2139.59,22762726,48702811222,468092,3095157,13.6
RELIANCE,EQ,7-Aug-20,2134.1,2129.8,2157.8,2120.2,2146,2146.45,2141.31,15222384,32595833726,329099,3705643,24.34
RELIANCE,EQ,10-Aug-20,2146.45,2159.1,2165,2108.1,2121.6,2119.85,2136.58,12441939,26583161119,300073,2893247,23.25
RELIANCE,EQ,11-Aug-20,2119.85,2134.8,2160,2100.35,2132.85,2133.8,2133.3,21611359,46103431136,491594,4174558,19.32
RELIANCE,EQ,12-Aug-20,2133.8,2121,2145,2106.8,2126.55,2127.6,2129.79,13967529,29747858193,308155,2213804,15.85
RELIANCE,EQ,13-Aug-20,2127.6,2128,2138.9,2110,2125.8,2122.05,2122.69,11459251,24324473969,266729,3601994,31.43
RELIANCE,EQ,14-Aug-20,2122.05,2122.55,2157,2089.25,2112,2113.8,2129.96,15333759,32660268152,346390,2362119,15.4
RELIANCE,EQ,17-Aug-20,2113.8,2105,2105,2070.1,2094.05,2091.35,2085.65,14297224,29819054668,324590,2115024,14.79
RELIANCE,EQ,18-Aug-20,2091.35,2085,2134.3,2082.35,2120.2,2118.55,2118.58,14097932,29867537549,281219,2559498,18.16
RELIANCE,EQ,19-Aug-20,2118.55,2141,2154,2121.35,2137,2131.55,2137.37,15731409,33623807599,288995,2518453,16.01
RELIANCE,EQ,20-Aug-20,2131.55,2120,2123.9,2088,2098.6,2097.05,2109.01,10402292,21938504436,267102,2363592,22.72
RELIANCE,EQ,21-Aug-20,2097.05,2118,2122,2077,2084.75,2081.85,2096.99,11667281,24466208120,296981,2236600,19.17
RELIANCE,EQ,24-Aug-20,2081.85,2091.4,2104.5,2070.5,2099.95,2095.75,2090.25,15099030,31560709786,323471,2697292,17.86
RELIANCE,EQ,25-Aug-20,2095.75,2106,2111.3,2078,2082,2082.1,2089.41,8947709,18695434041,202929,2014450,22.51
RELIANCE,EQ,26-Aug-20,2082.1,2085,2147.95,2047,2133.7,2137.3,2102.41,27631028,58091747447,533755,6707265,24.27
RELIANCE,EQ,27-Aug-20,2137.3,2148,2150,2103.25,2108.1,2110.6,2126.98,12962139,27570185760,297474,3408902,26.3
RELIANCE,EQ,28-Aug-20,2110.6,2120,2132.9,2106.25,2116,2116.15,2118.85,12537684,26565452934,267973,2828812,22.56
RELIANCE,EQ,31-Aug-20,2116.15,2174,2174,2060.35,2070,2080.7,2118.64,28649141,60697216689,541760,7212259,25.17
RELIANCE,EQ,1-Sep-20,2080.7,2100,2122.4,2062.4,2092,2087.25,2091.83,17821488,37279521465,327904,4956555,27.81
RELIANCE,EQ,2-Sep-20,2087.25,2092,2138,2085,2128.55,2128.2,2119.29,12437209,26358056793,281041,3376204,27.15
RELIANCE,EQ,3-Sep-20,2128.2,2128,2138.75,2103,2114,2112.1,2112.86,8577741,18123586030,219117,3249170,37.88
RELIANCE,EQ,4-Sep-20,2112.1,2083.55,2096.95,2072.2,2080,2077.25,2084.73,13141705,27396936571,365456,5968727,45.42
RELIANCE,EQ,7-Sep-20,2077.25,2084,2105.75,2044.25,2099.6,2082.65,2071.8,10119099,20964707499,255801,2619452,25.89
RELIANCE,EQ,8-Sep-20,2082.65,2092,2121,2080.5,2103.1,2107.1,2108.01,12643762,26653239816,287150,2734033,21.62
RELIANCE,EQ,9-Sep-20,2107.1,2085,2167.8,2081.45,2163.55,2161.35,2136.84,25526055,54545044441,531323,5716097,22.39
RELIANCE,EQ,10-Sep-20,2161.35,2183.1,2344.95,2175.35,2319,2314,2275.51,64751766,1.47343E+11,1233053,12172158,18.8
RELIANCE,EQ,11-Sep-20,2314,2312,2337.85,2287.1,2315,2319.75,2318.58,27445883,63635412477,599768,6427971,23.42
RELIANCE,EQ,14-Sep-20,2319.75,2325,2360,2282,2296.25,2302.55,2323.57,20335480,47250941267,450188,3578138,17.6
RELIANCE,EQ,15-Sep-20,2302.55,2311.95,2325.75,2288.15,2324,2318.85,2311.23,12543161,28990110978,270331,2498608,19.92
RELIANCE,EQ,16-Sep-20,2318.85,2320,2369.35,2310.55,2324.9,2324.55,2339.46,15669133,36657370888,321651,3528875,22.52
RELIANCE,EQ,17-Sep-20,2324.55,2320,2333.7,2291.85,2296,2298.75,2310.29,11919991,27538576984,286325,3285052,27.56
RELIANCE,EQ,18-Sep-20,2298.75,2314.25,2319.45,2276.55,2303.6,2305.7,2305.1,15264101,35185252646,219641,6340779,41.54
RELIANCE,EQ,21-Sep-20,2305.7,2300,2336,2247.35,2250,2255.85,2291.38,15519433,35560977455,342489,5046850,32.52
RELIANCE,EQ,22-Sep-20,2255.85,2277,2277,2201.55,2220.05,2211.15,2225.36,16056621,35731708479,348897,6138633,38.23
RELIANCE,EQ,23-Sep-20,2211.15,2260,2276.75,2205.3,2228,2230.8,2242.58,19839809,44492265342,384190,3749875,18.9
RELIANCE,EQ,24-Sep-20,2230.8,2207.9,2226,2176.05,2195,2181.2,2200.65,13765321,30292605688,328090,4092237,29.73
RELIANCE,EQ,25-Sep-20,2181.2,2189,2212.8,2167.3,2198.85,2201.7,2191.17,13095950,28695471561,329859,2793738,21.33
RELIANCE,EQ,28-Sep-20,2201.7,2227,2238,2207.05,2218,2216.25,2221.39,9076787,20163062604,213955,1610375,17.74
RELIANCE,EQ,29-Sep-20,2216.25,2225,2264,2216.25,2241.9,2245.05,2242.3,11927459,26744967681,269649,2301443,19.3
RELIANCE,EQ,30-Sep-20,2245.05,2260,2267,2225,2231,2234.35,2251.01,11291280,25416740704,232560,2777751,24.6
RELIANCE,EQ,1-Oct-20,2234.35,2263.8,2263.8,2214,2229.05,2225.25,2237.62,9591467,21462014628,237645,2356434,24.57
RELIANCE,EQ,5-Oct-20,2225.25,2244,2249.15,2206,2215,2212.2,2222.94,8732890,19412649756,237138,1671283,19.14
RELIANCE,EQ,6-Oct-20,2212.2,2225.25,2233.9,2201.65,2213,2210.35,2213.64,8497352,18810040908,230575,2565411,30.19
RELIANCE,EQ,7-Oct-20,2210.35,2235,2309,2220,2259.4,2257.5,2276.27,24538620,55856495761,542898,3167121,12.91
RELIANCE,EQ,8-Oct-20,2257.5,2259,2268,2222.1,2241.5,2239.25,2242.24,9727508,21811437285,251543,2761519,28.39
RELIANCE,EQ,9-Oct-20,2239.25,2235,2253,2217.1,2239,2233.45,2232.05,8558747,19103582648,215729,2908038,33.98
RELIANCE,EQ,12-Oct-20,2233.45,2235,2255.75,2226.25,2236,2237.05,2239.55,6565525,14703804367,146831,1868691,28.46
RELIANCE,EQ,13-Oct-20,2237.05,2230.6,2285.75,2225.85,2279,2280.7,2259.76,10666280,24103209104,255851,3449962,32.34
RELIANCE,EQ,14-Oct-20,2280.7,2278.9,2304,2268.5,2283,2287.5,2284.78,12341487,28197589497,281008,4373851,35.44
RELIANCE,EQ,15-Oct-20,2287.5,2290,2290,2195,2203.25,2206.5,2241.04,9246893,20722639247,265699,3100443,33.53
RELIANCE,EQ,16-Oct-20,2206.5,2215,2232.5,2172.65,2178,2175.8,2197.33,9961080,21887776010,287579,2106731,21.15
RELIANCE,EQ,19-Oct-20,2175.8,2190.05,2228.7,2155.15,2175.5,2176.2,2189.75,14399062,31530332263,363717,3772907,26.2
RELIANCE,EQ,20-Oct-20,2176.2,2179,2193,2152.25,2155.85,2155.9,2166.54,8529621,18479742688,275082,2119328,24.85
RELIANCE,EQ,21-Oct-20,2155.9,2168,2192,2097.75,2122.65,2124.6,2143.87,15729989,33723125352,399065,3975978,25.28
RELIANCE,EQ,22-Oct-20,2124.6,2127.4,2132.5,2091,2111.9,2106.95,2107.04,14215255,29952115115,391498,5836281,41.06
RELIANCE,EQ,23-Oct-20,2106.95,2106,2135,2096.4,2112,2113.05,2118.9,10809383,22904053634,265187,3551502,32.86
RELIANCE,EQ,26-Oct-20,2113.05,2101.95,2101.95,2018.5,2034.9,2029.1,2052.69,17225340,35358322556,581238,6324776,36.72
RELIANCE,EQ,27-Oct-20,2029.1,2034.9,2059.85,2005,2034.4,2034.5,2026.38,16835011,34114088506,462764,5199796,30.89
RELIANCE,EQ,28-Oct-20,2034.5,2041.8,2057.7,2007.4,2008.9,2011.45,2026.02,13810054,27979442355,413849,4822048,34.92
RELIANCE,EQ,29-Oct-20,2011.45,1997,2042,1991,2029.05,2026.9,2019.57,14147681,28572185906,382087,3346100,23.65
RELIANCE,EQ,30-Oct-20,2026.9,2033.5,2065.1,2021.8,2064.35,2054.5,2040.66,15701123,32040607252,349177,3880807,24.72
RELIANCE,EQ,2-Nov-20,2054.5,2027,2027,1859.15,1876,1877.45,1927.55,45857806,88393320147,1428490,12596880,27.47
RELIANCE,EQ,3-Nov-20,1877.45,1890,1909,1835.1,1854.5,1850.4,1873.92,40931170,76701761539,990935,11064654,27.03
RELIANCE,EQ,4-Nov-20,1850.4,1837,1929,1837,1910.5,1913.2,1893.24,37003111,70055655614,888904,6665864,18.01
RELIANCE,EQ,5-Nov-20,1913.2,1954.95,1960.95,1932,1956.8,1955,1949.03,17170274,33465297066,448665,5252804,30.59
RELIANCE,EQ,6-Nov-20,1955,1990,2040,1978.15,2025,2029.15,2015.72,30770080,62023880104,649196,8468704,27.52
RELIANCE,EQ,9-Nov-20,2029.15,2062.1,2069,2036,2051,2050.7,2051.91,16539467,33937502974,384188,6258441,37.84
RELIANCE,EQ,10-Nov-20,2050.7,2077,2090,2041.2,2089,2084.55,2071.86,17045147,35315160451,399073,6458474,37.89
RELIANCE,EQ,11-Nov-20,2084.55,2089,2095,1978.1,1999.8,1997.2,2027.8,26178477,53084610845,647679,9063191,34.62
RELIANCE,EQ,12-Nov-20,1997.2,1981,2008.45,1965,1981.75,1980,1987.14,18481466,36725218563,440630,6746860,36.51
RELIANCE,EQ,13-Nov-20,1980,1982,2036.65,1981.75,2000.05,1996.4,2007.38,20946864,42048268832,507695,5280992,25.21
RELIANCE,EQ,14-Nov-20,1996.4,2014.9,2015.3,1995.35,2001.55,2002.3,2005.96,2411900,4838163828,99484,621485,25.77
RELIANCE,EQ,17-Nov-20,2002.3,2085,2085,1985,1994.8,1993.25,2013.16,21479385,43241364015,462630,5819797,27.09
RELIANCE,EQ,18-Nov-20,1993.25,1993.25,2006.5,1960.1,1991.2,1987.2,1979.95,14030652,27780020120,410607,3601706,25.67
RELIANCE,EQ,19-Nov-20,1987.2,1987.2,2010.45,1968.2,1972,1973.15,1987.24,12828008,25492281433,307890,3570924,27.84
RELIANCE,EQ,20-Nov-20,1973.15,1975,1983.8,1895,1901,1899.5,1923.27,26522972,51010821673,794436,7772176,29.3
RELIANCE,EQ,23-Nov-20,1899.5,1951,1970,1926.25,1955.2,1950.7,1952.18,20918665,40837042220,497781,5148955,24.61
RELIANCE,EQ,24-Nov-20,1950.7,1964,1974,1932,1971.05,1964.05,1952.11,14277083,27870435600,362587,3213843,22.51
RELIANCE,EQ,25-Nov-20,1964.05,1980,1992.95,1942.2,1947.5,1947.8,1969.06,15062376,29658744016,356793,3040444,20.19
RELIANCE,EQ,26-Nov-20,1947.8,1953.05,1965,1930.05,1957,1952.6,1946.67,11924527,23213094744,266412,3406506,28.57
RELIANCE,EQ,27-Nov-20,1952.6,1940.5,1956.1,1921.4,1940.5,1929.8,1935.45,21845931,42281637553,314085,12489338,57.17
RELIANCE,EQ,1-Dec-20,1929.8,1940.35,1966.25,1930.05,1954.1,1954.9,1950.09,9114939,17774977231,272346,3073957,33.72
RELIANCE,EQ,2-Dec-20,1954.9,1958.5,1962,1935,1959,1958.15,1947.77,10240168,19945469659,236641,3885070,37.94
RELIANCE,EQ,3-Dec-20,1958.15,1972,1981.1,1958.65,1960.8,1964.05,1969.94,12822945,25260374207,270788,6151159,47.97
RELIANCE,EQ,4-Dec-20,1964.05,1969,1969,1940,1947.7,1946.75,1948.72,8521388,16605763759,286109,3771228,44.26
RELIANCE,EQ,7-Dec-20,1946.75,1940.6,1965,1940.6,1958.35,1958.2,1955.62,8418767,16463893633,267040,3706525,44.03
RELIANCE,EQ,8-Dec-20,1958.2,1961.15,2014.25,1950,1992.45,1993.75,1995.12,20030506,39963227134,460158,5692600,28.42
RELIANCE,EQ,9-Dec-20,1993.75,2009.95,2033.8,1999.25,2026,2026.95,2019.89,13464375,27196561520,303801,4861192,36.1
RELIANCE,EQ,10-Dec-20,2026.95,2021.6,2028.5,2001,2008,2007,2010.18,7414229,14903949696,212910,2670339,36.02
RELIANCE,EQ,11-Dec-20,2007,2013,2038,1974.25,1999.4,2005.8,2015.5,12434745,25062187258,265002,3553151,28.57
RELIANCE,EQ,14-Dec-20,2005.8,2007.95,2015,1986.35,1993.5,1991.3,1997.46,7989830,15959361790,248928,2832392,35.45
RELIANCE,EQ,15-Dec-20,1991.3,1989.7,1989.7,1961.1,1973.6,1974.35,1973.54,8561406,16896273509,240918,3108604,36.31
RELIANCE,EQ,16-Dec-20,1974.35,1988,1994.95,1965.7,1977.55,1976.55,1977.57,8565904,16939660871,233001,3281219,38.31
RELIANCE,EQ,17-Dec-20,1976.55,1984.5,2005,1977.15,1985.5,1985.6,1989.37,9346460,18593553237,280068,3368996,36.05
RELIANCE,EQ,18-Dec-20,1985.6,1980.1,2004.9,1965,1998.1,1991.55,1981.58,8522215,16887433569,226069,3412555,40.04
RELIANCE,EQ,21-Dec-20,1991.55,2010,2022,1855.25,1935,1939.7,1976.82,20368545,40264899448,514099,5751990,28.24
RELIANCE,EQ,22-Dec-20,1939.7,1949,1958.9,1888.45,1935,1936.7,1921.8,12986606,24957654770,374827,3386829,26.08
RELIANCE,EQ,23-Dec-20,1936.7,1930,1951.45,1920.65,1947,1943.85,1938.16,8999898,17443231403,282444,3128219,34.76
RELIANCE,EQ,24-Dec-20,1943.85,1947,1998.8,1945.9,1992.95,1994.15,1976.2,9588577,18948962896,250116,2141157,22.33
RELIANCE,EQ,28-Dec-20,1994.15,2006.7,2018,1995.3,2002,2003.3,2006.71,7947719,15948771620,214898,1821777,22.92
RELIANCE,EQ,29-Dec-20,2003.3,2009,2012.3,1982.55,1987,1990.05,1992.97,8589407,17118416326,242433,3009732,35.04
RELIANCE,EQ,30-Dec-20,1990.05,1995.25,2007.2,1975.55,1994.35,1995.5,1991.6,10173132,20260786998,234486,3159950,31.06
RELIANCE,EQ,31-Dec-20,1995.5,1993.5,2011.9,1978.6,1981.8,1985.3,1995.67,8667516,17297504921,226094,2538214,29.28
RELIANCE,EQ,1-Jan-21,1985.3,1988,1997,1982,1988,1987.5,1989.5,4622002,9195480292,139680,1013314,21.92
RELIANCE,EQ,4-Jan-21,1987.5,1995.1,1998.9,1968,1990.25,1990.85,1982.61,11312992,22429227857,316871,3869604,34.2
RELIANCE,EQ,5-Jan-21,1990.85,1969,1983.6,1956,1965,1966.1,1968.87,11132803,21919019063,300233,5208047,46.78
RELIANCE,EQ,6-Jan-21,1966.1,1965.9,1966,1905.15,1915.5,1914.25,1928.17,21414270,41290368153,659284,9038101,42.21
RELIANCE,EQ,7-Jan-21,1914.25,1920.5,1945,1905.15,1912.8,1911.15,1919.86,14918406,28641263321,454695,6452659,43.25
RELIANCE,EQ,8-Jan-21,1911.15,1918,1938.4,1912.1,1934,1933.7,1923.06,12709792,24441751753,270966,5303550,41.73
RELIANCE,EQ,11-Jan-21,1933.7,1938.8,1938.8,1892.5,1899,1897.25,1910.26,15371556,29363709013,479137,7697815,50.08
RELIANCE,EQ,12-Jan-21,1897.25,1903,1960,1899.9,1955.5,1957.05,1935.51,18996047,36766988576,417387,8987850,47.31
RELIANCE,EQ,13-Jan-21,1957.05,1963.55,1974.95,1918.45,1936,1938.8,1948.25,12284876,23934034448,304901,4368602,35.56
RELIANCE,EQ,14-Jan-21,1938.8,1945,1966.9,1939.05,1958.1,1960.6,1957.17,9946818,19467651412,287671,5225648,52.54
RELIANCE,EQ,15-Jan-21,1960.6,1960.6,1973.8,1920.05,1937.9,1937.45,1952.72,9503790,18558204988,264152,3947767,41.54
RELIANCE,EQ,18-Jan-21,1937.45,1949.1,1997,1923.35,1972.8,1983.95,1967.71,16198856,31874686565,399642,6014603,37.13
RELIANCE,EQ,19-Jan-21,1983.95,1994.65,2031,1994.65,2015,2016.4,2018.21,14771048,29811112716,411707,6055057,40.99
RELIANCE,EQ,20-Jan-21,2016.4,2021.4,2058,2001.4,2053,2054.7,2036.58,14271669,29065337316,456106,6676332,46.78
RELIANCE,EQ,21-Jan-21,2054.7,2082,2120,2075,2107,2099.4,2102.61,18038987,37928961935,483168,6386636,35.4
RELIANCE,EQ,22-Jan-21,2099.4,2111,2115.35,2035.15,2047.95,2049.6,2070.96,14090818,29181582565,388593,3512524,24.93
RELIANCE,EQ,25-Jan-21,2049.6,2034.95,2034.95,1932,1935.15,1941,1966.36,25016570,49191602456,723194,9041658,36.14
RELIANCE,EQ,27-Jan-21,1941,1925,1925,1888,1890,1895,1904.59,19553809,37241980448,637355,9587173,49.03
RELIANCE,EQ,28-Jan-21,1895,1880.15,1923.3,1870,1876.35,1876.55,1895.32,15722291,29798806094,446576,4697008,29.87
RELIANCE,EQ,29-Jan-21,1876.55,1894.3,1913.1,1830,1844.95,1841.95,1871.72,20173258,37758612332,472678,9106845,45.14
RELIANCE,EQ,1-Feb-21,1841.95,1859.4,1905,1848,1898.15,1895.3,1874.03,15774504,29561820671,370120,7864911,49.86
RELIANCE,EQ,2-Feb-21,1895.3,1914.25,1940,1854.95,1936,1925.8,1889.81,19138414,36168052851,561567,7369471,38.51
RELIANCE,EQ,3-Feb-21,1925.8,1928.3,1952,1900,1928.5,1930.65,1931.87,13984228,27015673443,345625,4832689,34.56
RELIANCE,EQ,4-Feb-21,1930.65,1924,1940,1905,1921.5,1924.3,1923.71,11826848,22751381754,332784,5411559,45.76
RELIANCE,EQ,5-Feb-21,1924.3,1930.05,1944.65,1920,1924.3,1923.75,1929.36,9344470,18028883268,263144,3564531,38.15
RELIANCE,EQ,8-Feb-21,1923.75,1933.05,1969,1929.05,1951.4,1951.45,1954.84,9776136,19110816695,287247,3553415,36.35
RELIANCE,EQ,9-Feb-21,1951.45,1961.95,1989.6,1952.3,1954.5,1956.15,1974.29,9047308,17861994119,254384,3417112,37.77
RELIANCE,EQ,10-Feb-21,1956.15,1953.75,1984.75,1927.3,1980.35,1974.3,1955.63,9799560,19164292386,288994,3630351,37.05
RELIANCE,EQ,11-Feb-21,1974.3,1980,2064.2,1972.25,2061.8,2055.7,2028.11,19631870,39815594030,546129,5981796,30.47
RELIANCE,EQ,12-Feb-21,2055.7,2055.5,2078,2015.4,2040,2041.6,2049.91,14074374,28851163932,369938,2446469,17.38
RELIANCE,EQ,15-Feb-21,2041.6,2048.05,2061.3,2025,2034,2032.6,2043.13,7287590,14889502308,222500,1339156,18.38
RELIANCE,EQ,16-Feb-21,2032.6,2039.75,2079.4,2035,2058.5,2059.5,2061.23,9886093,20377537337,274329,2429172,24.57
RELIANCE,EQ,17-Feb-21,2059.5,2060,2095.95,2050.6,2079.2,2083.25,2076.99,10957388,22758423346,257784,2784713,25.41
RELIANCE,EQ,18-Feb-21,2083.25,2085,2108.4,2059.1,2063.5,2067.7,2085.18,8605531,17944045241,228157,2460456,28.59
RELIANCE,EQ,19-Feb-21,2067.7,2057,2104.95,2053.3,2080,2080.3,2088.14,10800704,22553356631,279181,3029362,28.05
RELIANCE,EQ,22-Feb-21,2080.3,2080,2089.9,1994.95,1999.1,2008.1,2036.88,10985697,22376599862,309112,4112030,37.43
RELIANCE,EQ,23-Feb-21,2008.1,2048,2052.9,2013.6,2026.15,2023.45,2034.5,11834752,24077795769,275466,4422097,37.37
RELIANCE,EQ,24-Feb-21,2023.45,2030,2065.25,2026.15,2060.55,2061,2048.89,4987735,10219330133,135224,1950596,39.11
RELIANCE,EQ,25-Feb-21,2061,2076,2152,2073,2147,2144.35,2120.59,16085897,34111575088,452535,5714928,35.53
RELIANCE,EQ,26-Feb-21,2144.35,2117,2133.9,2070.7,2079.5,2085.8,2096.69,17297575,36267601929,489066,7330239,42.38
RELIANCE,EQ,1-Mar-21,2085.8,2110.2,2112,2062.5,2103,2101.7,2092.87,8159670,17077101153,266082,2970300,36.4
RELIANCE,EQ,2-Mar-21,2101.7,2122,2130,2089.1,2108,2106,2107.78,7915073,16683250359,244565,2910860,36.78
RELIANCE,EQ,3-Mar-21,2106,2121.05,2219.9,2107.2,2207.1,2202.1,2161.54,14733134,31846213370,326092,6380700,43.31
RELIANCE,EQ,4-Mar-21,2202.1,2180,2189.95,2157.7,2174,2175.85,2175.57,9892597,21522070321,259806,3808559,38.5
RELIANCE,EQ,5-Mar-21,2175.85,2156,2211.95,2153.05,2174.55,2178.7,2184.35,11773630,25717685129,312784,3896896,33.1
RELIANCE,EQ,8-Mar-21,2178.7,2168.5,2231.9,2168,2193,2191.1,2205.66,9002404,19856244553,300037,2389286,26.54
RELIANCE,EQ,9-Mar-21,2191.1,2200,2213.8,2146.6,2190.55,2191.05,2181.47,6993792,15256736216,227932,2047400,29.27
RELIANCE,EQ,10-Mar-21,2191.05,2207,2215.1,2170.25,2179.4,2181.95,2187.67,5316182,11630074902,163700,1461484,27.49
RELIANCE,EQ,12-Mar-21,2181.95,2195,2206.4,2123.9,2136.9,2137.6,2160.6,7783173,16816345899,244889,2820317,36.24
RELIANCE,EQ,15-Mar-21,2137.6,2140.05,2148.9,2080.5,2105,2108.9,2103.37,7706302,16209190176,268696,3083696,40.02
RELIANCE,EQ,16-Mar-21,2108.9,2114,2126,2095.5,2100.75,2100.6,2107.19,6402757,13491841405,235823,2426737,37.9
RELIANCE,EQ,17-Mar-21,2100.6,2098.05,2103,2035.1,2054.5,2055.35,2065.89,8865521,18315233171,241456,4179353,47.14
RELIANCE,EQ,18-Mar-21,2055.35,2072.9,2084.8,2001,2010,2009.1,2038.79,9528809,19427231150,295771,4198315,44.06
